mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	2/2	1	0						firstMeasure	2
2	2	0	2/2	1	0						start	3
3	3	0	2/2	1	0							4
4	4	0	2/2	1	0							5
5	5	0	2/2	1	0							6
6	6	0	2/2	1	0							7
7	7	0	2/2	1	0							8
8	8	0	2/2	1	0							9
9	9	0	2/2	1	0							10
10	10	0	2/2	1	0							11
11	11	0	2/2	1	0							12
12	12	0	2/2	1	0							13
13	13	0	2/2	1	0							14
14	14	0	2/2	1	0							15
15	15	0	2/2	1	0							16
16	16	0	2/2	1	0							17
17	17	0	2/2	1	0							18
18	18	0	2/2	1	0				double			19
19	19	0	2/2	1	0							20
20	20	0	2/2	1	0							21
21	21	0	2/2	1	0							22
22	22	0	2/2	1	0							23
23	23	0	2/2	1	0							24
24	24	0	2/2	1	0							25
25	25	0	2/2	1	0							26
26	26	0	2/2	1	0							27
27	27	0	2/2	1	0							28
28	28	0	2/2	1	0							29
29	29	0	2/2	1	0							30
30	30	0	2/2	1	0							31
31	31	0	2/2	1	0							32
32	32	0	2/2	1	0							33
33	33	0	2/2	1	0							34
34	34	0	2/2	1	0							35
35	35	0	2/2	1	0							36
36	36	0	2/2	1	0							37
37	37	0	2/2	1	0							38, 39
38	38	0	2/2	1	0	1					end	2
39	76	0	2/2	1	0	2	38	1				40
40	77	0	2/2	1	0					section	lastMeasure	-1
